titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0015324	10	忍術キートン	JP	ja	imdbDisplay	NA	0
tt0015324	11	Sherlock Junior	RO	NA	imdbDisplay	NA	0
tt0015324	12	Sherlock jr.	DE	NA	NA	new title	0
tt0015324	13	Шерлок молодший	UA	NA	imdbDisplay	NA	0
tt0015324	14	Sherlock Jr.	CA	fr	imdbDisplay	NA	0
tt0015324	15	Шерлок младший	RU	NA	imdbDisplay	NA	0
tt0015324	16	Sherlock Junior	FR	NA	imdbDisplay	NA	0
tt0015324	17	Sherlock Jr.	IN	en	imdbDisplay	NA	0
tt0015324	18	Młody Sherlock Holmes	PL	NA	imdbDisplay	NA	0
tt0015324	19	Sherlock Jr.	AU	NA	imdbDisplay	NA	0
tt0015324	1	Sherlock Junior	DE	NA	NA	new title	0
tt0015324	20	Calma, signori miei!	IT	NA	alternative	NA	0
tt0015324	21	Sherlock Holmes Jr.	PT	NA	imdbDisplay	NA	0
tt0015324	22	Frigo jako Sherlock Holmes	CZ	NA	alternative	NA	0
tt0015324	23	Kovaa kyytiä ja kaunokaisia	FI	NA	dvd	NA	0
tt0015324	24	Fart, flickor och faror	SE	NA	imdbDisplay	NA	0
tt0015324	25	Buster Keaton - Sherlock Junior	DE	NA	NA	new title	0
tt0015324	26	El moderno Sherlock Holmes	ES	NA	NA	NA	0
tt0015324	27	Sherlock Jr.	GB	NA	imdbDisplay	NA	0
tt0015324	28	Bancando o Águia	BR	NA	imdbDisplay	NA	0
tt0015324	29	Kovaa kyytiä ja kaunottaria	FI	NA	imdbDisplay	NA	0
tt0015324	2	Keaton no Tantei gaku Nyûmon	JP	NA	imdbDisplay	NA	0
tt0015324	30	Шерлок млађи	RS	NA	imdbDisplay	NA	0
tt0015324	31	Sherlock Jr.	US	NA	NA	NA	0
tt0015324	32	Ifjabb Sherlock detektív	HU	NA	imdbDisplay	NA	0
tt0015324	33	Sherlock Jr.	FI	NA	tv	NA	0
tt0015324	34	Sherlock Holmes Jr.	AT	NA	imdbDisplay	NA	0
tt0015324	35	Sherlock Jr.	NA	NA	original	NA	1
tt0015324	36	The Misfit	US	NA	NA	original script title	0
tt0015324	3	Шерлок младший	SUHH	ru	imdbDisplay	NA	0
tt0015324	4	少年福爾摩斯	TW	NA	imdbDisplay	NA	0
tt0015324	5	Sherlock Jr.	IN	hi	imdbDisplay	NA	0
