nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000021	Joan Fontaine	1917	2013	actress,soundtrack,producer	tt0040536,tt0032976,tt0039504,tt0034248
nm0000022	Clark Gable	1901	1960	actor,soundtrack,producer	tt0023382,tt0031381,tt0026752,tt0025316
nm0000023	Judy Garland	1922	1969	soundtrack,actress	tt0055031,tt0037059,tt0047522,tt0032138
nm0000024	John Gielgud	1904	2000	actor,writer,director	tt0045943,tt0117631,tt0082031,tt0071877
nm0000025	Jerry Goldsmith	1929	2004	music_department,soundtrack,composer	tt0100802,tt0077269,tt0117731,tt0119488
nm0000026	Cary Grant	1904	1986	actor,soundtrack,producer	tt0048728,tt0056923,tt0032599,tt0053125
nm0000027	Alec Guinness	1914	2000	actor,soundtrack,writer	tt0050212,tt0076759,tt0051739,tt0041546
nm0000028	Rita Hayworth	1918	1987	actress,soundtrack,producer	tt0036723,tt0040552,tt0040525,tt0038559
nm0000029	Margaux Hemingway	1954	1996	actress,miscellaneous	tt0074802,tt0102122,tt0077800,tt0110138
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0054698,tt0056923,tt0046250,tt0058385
nm0000031	Katharine Hepburn	1907	2003	actress,soundtrack,writer	tt0082846,tt0032904,tt0063227,tt0043265
nm0000032	Charlton Heston	1923	2008	actor,director,writer	tt0052618,tt0049833,tt0070723,tt0063442
nm0000033	Alfred Hitchcock	1899	1980	director,producer,actor	tt0053125,tt0040746,tt0054215,tt0052357
nm0000034	William Holden	1918	1981	actor,soundtrack	tt0074958,tt0043014,tt0046359,tt0072308
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0499549,tt0120338,tt0120647,tt0120746
nm0000036	Buster Keaton	1895	1966	actor,writer,director	tt0019421,tt0017925,tt0015324,tt0016332
nm0000037	Gene Kelly	1912	1996	soundtrack,actor,director	tt0041716,tt0045152,tt0043278,tt0053946
nm0000038	Grace Kelly	1929	1982	actress,soundtrack	tt0046912,tt0044706,tt0047396,tt0048728
nm0000039	Deborah Kerr	1921	2007	actress,soundtrack	tt0045793,tt0050105,tt0039192,tt0049408
nm0000040	Stanley Kubrick	1928	1999	director,writer,producer	tt0062622,tt0066921,tt0072684,tt0120663
nm0000041	Akira Kurosawa	1910	1998	writer,director,assistant_director	tt0047478,tt0080979,tt0089881,tt0051808
nm0000042	Alan Ladd	1913	1964	actor,producer,camera_department	tt0042279,tt0038369,tt0035432,tt0046303
nm0000043	Veronica Lake	1922	1973	actress,soundtrack,producer	tt0034881,tt0035432,tt0034240,tt0038369
nm0000044	Burt Lancaster	1913	1994	actor,producer,miscellaneous	tt0080388,tt0051036,tt0045793,tt0050468
nm0000045	Bruce Lee	1940	1973	actor,writer,miscellaneous	tt0068767,tt0068935,tt0077594,tt0070034
nm0000046	Vivien Leigh	1913	1967	actress,soundtrack,writer	tt0031381,tt0034272,tt0033238,tt0044081
nm0000047	Sophia Loren	1934	NA	actress,soundtrack	tt0060121,tt0054749,tt0058335,tt0076085
nm0000048	Peter Lorre	1904	1964	actor,soundtrack,writer	tt0022100,tt0033870,tt0034583,tt0036613
nm0000049	Henry Mancini	1924	1994	music_department,soundtrack,composer	tt0054698,tt0383216,tt0057413,tt0085101
nm0000050	Groucho Marx	1890	1977	soundtrack,actor,writer	tt0022158,tt0023969,tt0026778,tt0028772
nm0000051	James Mason	1909	1984	actor,producer,writer	tt0046672,tt0056193,tt0047522,tt0053125
nm0000052	Marcello Mastroianni	1924	1996	actor,producer,soundtrack	tt0053779,tt0056801,tt0076085,tt0110907
nm0000055	Alfred Newman	1901	1970	music_department,composer,soundtrack	tt0065377,tt0434409,tt0042192,tt0056085
nm0000056	Paul Newman	1925	2008	actor,producer,director	tt0084855,tt0061512,tt0257044,tt0054997
nm0000057	David Niven	1910	1983	actor,producer,soundtrack	tt0052182,tt0074937,tt0057413,tt0061452
nm0000059	Laurence Olivier	1907	1989	actor,producer,director	tt0032976,tt0077269,tt0054331,tt0069281
nm0000060	Gregory Peck	1916	2003	actor,producer,soundtrack	tt0046250,tt0041996,tt0077269,tt0056592
nm0000061	Tyrone Power	1914	1958	actor,soundtrack,producer	tt0041767,tt0032762,tt0043959,tt0051201
nm0000063	Anthony Quinn	1915	2001	actor,producer,soundtrack	tt0074896,tt0049456,tt0056172,tt0057831
nm0000064	Edward G. Robinson	1893	1973	actor,soundtrack,writer	tt0021079,tt0049833,tt0040506,tt0036775
nm0000065	Nino Rota	1911	1979	composer,soundtrack,music_department	tt0068646,tt0056801,tt0063518,tt0071562
nm0000066	Jane Russell	1921	2011	actress,soundtrack,producer	tt0045810,tt0043476,tt0044863,tt0043643
nm0000067	Miklós Rózsa	1907	1995	music_department,composer,soundtrack	tt0052618,tt0038109,tt0037884,tt0036775
nm0000069	Frank Sinatra	1915	1998	soundtrack,actor,producer	tt0056218,tt0045793,tt0050815,tt0052218
nm0000070	Max Steiner	1888	1971	music_department,composer,soundtrack	tt0034583,tt0036613,tt0040897,tt0031381
nm0000071	James Stewart	1908	1997	actor,soundtrack,director	tt0052357,tt0031679,tt0032904,tt0052561
nm0000072	Elizabeth Taylor	1932	2011	actress,soundtrack,producer	tt0061184,tt0051459,tt0053318,tt0056937
nm0000073	Shirley Temple	1928	2014	actress,soundtrack,writer	tt0032264,tt0040369,tt0016029,tt0027421
nm0000075	Spencer Tracy	1900	1967	actor,soundtrack	tt0061735,tt0047849,tt0053946,tt0055031
nm0000076	François Truffaut	1932	1984	writer,director,producer	tt0075860,tt0055032,tt0070460,tt0053198
nm0000077	Franz Waxman	1906	1967	music_department,composer,soundtrack	tt0032976,tt0043014,tt0034248,tt0026138
nm0000078	John Wayne	1907	1979	actor,producer,soundtrack	tt0053580,tt0065126,tt0056217,tt0031971
nm0000080	Orson Welles	1915	1985	actor,director,writer	tt0052311,tt0057427,tt0040525,tt0033467
nm0000081	Natalie Wood	1938	1981	actress,soundtrack,music_department	tt0057263,tt0048545,tt0055471,tt0055614
nm0000082	Victor Young	1900	1956	music_department,soundtrack,composer	tt3315342,tt0119094,tt0045061,tt0048960
nm0000090	Armin Mueller-Stahl	1930	NA	actor,director,writer	tt0117631,tt0119174,tt0765443,tt0963178
nm0000092	John Cleese	1939	NA	actor,writer,producer	tt0095159,tt0063929,tt0071853,tt0085959
nm0000101	Dan Aykroyd	1952	NA	writer,actor,producer	tt0097428,tt0080455,tt0118747,tt0087332
nm0000104	Antonio Banderas	1960	NA	actor,soundtrack,producer	tt0112851,tt1189073,tt0120746,tt0120657
nm0000107	Kim Basinger	1953	NA	actress,soundtrack,producer	tt0108525,tt0096895,tt0337921,tt0119488
nm0000116	James Cameron	1954	NA	writer,producer,director	tt0499549,tt0090605,tt0120338,tt0103064
nm0000125	Sean Connery	1930	2020	actor,producer,soundtrack	tt0094226,tt0059800,tt0117500,tt0058150
nm0000127	Wes Craven	1939	2015	writer,producer,director	tt0105121,tt0111686,tt0087800,tt0117571
nm0000128	Russell Crowe	1964	NA	actor,soundtrack,producer	tt0119488,tt0172495,tt1707386,tt0268978
nm0000129	Tom Cruise	1962	NA	actor,producer,soundtrack	tt0092099,tt0325710,tt0116695,tt0181689
nm0000138	Leonardo DiCaprio	1974	NA	actor,producer,writer	tt0407887,tt0993846,tt1375666,tt0120338
nm0000148	Harrison Ford	1942	NA	actor,writer,producer	tt0090329,tt0106977,tt0118571,tt0082971
nm0000151	Morgan Freeman	1937	NA	actor,producer,soundtrack	tt0097239,tt1057500,tt0114369,tt0405159
nm0000164	Anthony Hopkins	1937	NA	actor,soundtrack,composer	tt0975645,tt0412080,tt0212985,tt0102926
nm0000165	Ron Howard	1954	NA	actor,producer,director	tt0367279,tt0268978,tt0870111,tt0112384
nm0000173	Nicole Kidman	1967	NA	actress,producer,soundtrack	tt0203009,tt0274558,tt0159365,tt0276919
nm0000177	Kevin Kline	1947	NA	actor,soundtrack,director	tt0113117,tt0095159,tt0106673,tt0120891
nm0000180	David Lean	1908	1991	editor,director,writer	tt0037558,tt0059113,tt0056172,tt0050212
nm0000184	George Lucas	1944	NA	writer,producer,director	tt0066434,tt0082971,tt0076759,tt0069704
nm0000188	Steve Martin	1945	NA	writer,actor,soundtrack	tt0079367,tt0093886,tt0131325,tt0102250
nm0000195	Bill Murray	1950	NA	actor,soundtrack,writer	tt0335266,tt1748122,tt0362270,tt0128445
nm0000196	Mike Myers	1963	NA	actor,writer,soundtrack	tt0145660,tt0811138,tt0295178,tt0118655
nm0000199	Al Pacino	1940	NA	actor,producer,soundtrack	tt0068646,tt0070666,tt0099422,tt0072890
nm0000200	Bill Paxton	1955	2017	actor,producer,writer	tt0090605,tt0117998,tt0112384,tt0264616
nm0000209	Tim Robbins	1958	NA	actor,producer,director	tt0112818,tt0105151,tt0327056,tt0094812
nm0000215	Susan Sarandon	1946	NA	actress,producer,soundtrack	tt0112818,tt0120686,tt0103074,tt0094812
nm0000216	Arnold Schwarzenegger	1947	NA	actor,producer,director	tt0093773,tt0111503,tt0116213,tt0216216
nm0000221	Charlie Sheen	1965	NA	actor,producer,soundtrack	tt0094291,tt0369179,tt0108333,tt0107144
nm0000228	Kevin Spacey	1959	NA	actor,producer,soundtrack	tt0114369,tt0119488,tt0114814,tt0169547
nm0000229	Steven Spielberg	1946	NA	producer,writer,director	tt0120815,tt0082971,tt0083866,tt0108052
nm0000231	Oliver Stone	1946	NA	producer,director,writer	tt0102138,tt0096969,tt0110632,tt0091763
nm0000232	Sharon Stone	1958	NA	actress,producer,soundtrack	tt0108162,tt0114214,tt0112641,tt0103772
nm0000244	Sigourney Weaver	1949	NA	actress,soundtrack,producer	tt0118583,tt0177789,tt0499549,tt0078748
nm0000256	Jenny Agutter	1952	NA	actress,soundtrack	tt0099253,tt0848228,tt0074812,tt0082010
nm0000261	Karen Allen	1951	NA	actress,director,soundtrack	tt0367882,tt0088172,tt0077975,tt0082971
nm0000262	Nancy Allen	1950	NA	actress,soundtrack	tt0093870,tt0107978,tt0080661,tt0100502
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0066026,tt0108122,tt0105151,tt0280707
nm0000273	Alan Arkin	1934	NA	actor,soundtrack,director	tt0449059,tt0099487,tt0104348,tt1024648
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0099348,tt0093428,tt0089755,tt0081534
nm0000297	Tom Berenger	1949	NA	actor,producer,writer	tt0085244,tt0091763,tt0097815,tt1375666
nm0000303	Honor Blackman	1925	2020	actress,soundtrack	tt0058150,tt0054518,tt0243155,tt0057197
nm0000306	Brian Blessed	1936	NA	actor,soundtrack,director	tt0120855,tt0120915,tt0080745,tt0102798
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0069113,tt0119177,tt0082340,tt0048356
nm0000313	Jeff Bridges	1949	NA	actor,soundtrack,producer	tt1403865,tt1263670,tt2582782,tt0118715
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0057115,tt0064116,tt0071402
nm0000323	Michael Caine	1933	NA	actor,producer,soundtrack	tt0468569,tt0258068,tt0482571,tt0124315
nm0000328	Richard Chamberlain	1934	NA	actor,soundtrack,producer	tt0085101,tt0080274,tt0076299,tt0072308
nm0000331	Chevy Chase	1943	NA	actor,writer,soundtrack	tt0097958,tt0085995,tt0080487,tt0092086
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0054047,tt0057115,tt0118564,tt0067140
nm0000338	Francis Ford Coppola	1939	NA	producer,director,writer	tt0078788,tt0068646,tt0071360,tt0071562
nm0000345	Billy Crystal	1948	NA	actor,writer,producer	tt0122933,tt0101587,tt0113097,tt0098635
nm0000348	Tony Curtis	1925	2010	actor,soundtrack,producer	tt0051036,tt0053291,tt0054331,tt0066701
nm0000353	Willem Dafoe	1955	NA	actor,soundtrack,producer	tt7984734,tt6938828,tt0145487,tt5649144
nm0000362	Danny DeVito	1944	NA	actor,producer,director	tt0103776,tt0094142,tt0098621,tt0117008
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0029583,tt0034492,tt0058331,tt0048280
nm0000380	Robert Duvall	1931	NA	actor,producer,soundtrack	tt0068646,tt0078788,tt0316356,tt0118632
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,soundtrack	tt2527336,tt0076759,tt0080684,tt0086190
nm0000404	Jane Fonda	1937	NA	actress,producer,soundtrack	tt3312830,tt0067309,tt0077362,tt0062711
nm0000406	John Ford	1894	1973	director,producer,actor	tt0032551,tt0045061,tt0056217,tt0031971
nm0000408	Jonathan Frakes	1952	NA	actor,director,producer	tt0117731,tt0253754,tt0120844,tt0111280
nm0000410	Stephen Fry	1957	NA	actor,writer,producer	tt0120514,tt0434409,tt0280707,tt0371724
nm0000414	Teri Garr	1947	NA	actress,soundtrack	tt0084805,tt0072431,tt0075860,tt0088680
nm0000416	Terry Gilliam	1940	NA	writer,actor,animation_department	tt1054606,tt0088846,tt0071853,tt0085959
nm0000419	Jean-Luc Godard	1930	NA	director,writer,editor	tt0053472,tt0057345,tt0059592,tt0056663
nm0000434	Mark Hamill	1951	NA	actor,producer,soundtrack	tt0086190,tt2527336,tt0080684,tt0076759
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0104389,tt0119488,tt0185014,tt0388125
nm0000453	Ian Holm	1931	2020	actor,soundtrack,animation_department	tt0120681,tt0120737,tt0167260,tt0088846
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt0078748,tt0080678,tt0087803,tt1340800
nm0000461	Michael Ironside	1950	NA	actor,producer,writer	tt0081455,tt0120201,tt0092099,tt0100802
nm0000473	Diane Keaton	1946	NA	actress,producer,director	tt0356680,tt0075686,tt0079522,tt0337741
nm0000479	Walter Koenig	1936	NA	actor,writer,producer	tt0102975,tt0060028,tt0084726,tt0092007
nm0000484	John Landis	1950	NA	producer,director,actor	tt0067716,tt0080455,tt0086491,tt0118747
nm0000485	Fritz Lang	1890	1976	director,writer,producer	tt0019415,tt0022100,tt0057345,tt0027652
nm0000495	Téa Leoni	1966	NA	actress,producer	tt0163025,tt0371246,tt0218967,tt0120647
nm0000516	Lee Majors	1939	NA	actor,music_department,producer	tt0081859,tt0096061,tt0058791,tt0071054
nm0000527	Walter Matthau	1920	2000	actor,soundtrack,director	tt0072251,tt0060424,tt0069865,tt0063374
nm0000532	Malcolm McDowell	1943	NA	actor,producer,soundtrack	tt0373883,tt0066921,tt0080025,tt0111280
nm0000537	Steve McQueen	1930	1980	actor,producer,soundtrack	tt0057115,tt0054047,tt0062765,tt0070511
nm0000543	Sal Mineo	1939	1976	actor,soundtrack,music_department	tt0067065,tt0048545,tt0049261,tt0053804
nm0000545	Helen Mirren	1945	NA	actress,director,producer	tt0280707,tt1245526,tt0975645,tt0436697
nm0000548	Elizabeth Montgomery	1933	1995	actress,soundtrack,miscellaneous	tt0073273,tt0088713,tt0076981,tt0057733
nm0000552	Eddie Murphy	1961	NA	actor,writer,producer	tt0443489,tt0094898,tt0097481,tt0117218
nm0000558	Leslie Nielsen	1926	2010	actor,producer,soundtrack	tt0095705,tt0049223,tt0102510,tt0080339
nm0000559	Leonard Nimoy	1931	2015	actor,director,producer	tt0102975,tt0796366,tt0088170,tt0092007
nm0000564	Peter O'Toole	1932	2013	actor,soundtrack,producer	tt0063227,tt0056172,tt0081568,tt0332452
nm0000567	George Orwell	1903	1950	writer	tt1785318,tt0087803,tt0048918,tt2467700
nm0000577	George Peppard	1928	1994	actor,assistant_director,soundtrack	tt0056085,tt0054698,tt0060177,tt0057917
nm0000578	Anthony Perkins	1932	1992	actor,soundtrack,director	tt0086154,tt0054215,tt0049233,tt0091799
nm0000581	Joseph L. Mankiewicz	1909	1993	writer,producer,director	tt0041587,tt0056937,tt0069281,tt0042192
nm0000583	Wolfgang Petersen	1941	NA	director,writer,producer	tt0089092,tt0082096,tt0118571,tt0114069
nm0000587	Donald Pleasence	1919	1995	actor,writer,soundtrack	tt0082495,tt0057115,tt0113253,tt0077651
nm0000590	Edgar Allan Poe	1809	1849	writer,soundtrack,miscellaneous	tt1772264,tt0379889,tt8646426,tt1663656
nm0000593	Kelly Preston	1962	2020	actress,soundtrack	tt0286788,tt0116695,tt0185183,tt0312528
nm0000601	Harold Ramis	1944	2014	writer,actor,producer	tt0087332,tt0107048,tt0478311,tt0083131
nm0000606	Jean Reno	1948	NA	actor	tt0110413,tt0095250,tt0281364,tt0122690
nm0000617	Tanya Roberts	1955	NA	actress,producer	tt0090264,tt0165598,tt0088103,tt0083630
nm0000621	Kurt Russell	1951	NA	actor,producer,writer	tt3460252,tt0116253,tt0098439,tt0116225
nm0000631	Ridley Scott	1937	NA	producer,director,production_designer	tt3659388,tt0103074,tt0172495,tt0083658
nm0000634	Peter Sellers	1925	1980	actor,soundtrack,writer	tt0057012,tt0075066,tt0072081,tt0078841
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt8632012,tt5377528,tt5932378,tt3894536
nm0000638	William Shatner	1931	NA	actor,producer,writer	tt0098382,tt0092007,tt0088170,tt0084726
nm0000640	Martin Sheen	1940	NA	actor,producer,soundtrack	tt0069762,tt1441912,tt0407887,tt0078788
nm0000649	Paul Sorvino	1939	NA	actor,soundtrack,director	tt0963194,tt0113987,tt0099685,tt0102803
nm0000653	Brent Spiner	1949	NA	actor,soundtrack,director	tt0116629,tt0117731,tt1628841,tt0253754
nm0000659	Barbra Streisand	1942	NA	soundtrack,producer,actress	tt0086619,tt0062994,tt0117057,tt0069495
nm0000682	Paul Verhoeven	1938	NA	director,producer,writer	tt0389557,tt0093870,tt3716530,tt0164052
nm0000683	Gore Vidal	1925	2012	writer,actor	tt0080491,tt0041061,tt0111732,tt0119177
nm0000697	Billy Wilder	1906	2002	writer,director,producer	tt0053291,tt0043014,tt0047437,tt0053604
nm0000701	Kate Winslet	1975	NA	actress,soundtrack	tt0114388,tt0338013,tt0120338,tt0959337
nm0000704	Elijah Wood	1981	NA	actor,producer,soundtrack	tt0167260,tt0120737,tt0167261,tt0338013
nm0000708	Billy Zane	1966	NA	actor,producer,soundtrack	tt0096874,tt0097162,tt0120338,tt0117331
nm0000709	Robert Zemeckis	1951	NA	producer,writer,director	tt0118884,tt1907668,tt0088763,tt0109830
nm0000722	Joss Ackland	1928	NA	actor,soundtrack	tt0101452,tt0097733,tt0099810,tt0078480
nm0000731	Brian Aherne	1902	1986	actor,soundtrack	tt0031516,tt0030442,tt0036203,tt0057547
nm0000733	Anouk Aimée	1932	NA	actress	tt0055093,tt0061138,tt0053779,tt0056801
nm0000734	Eddie Albert	1906	2005	actor,soundtrack,producer	tt0046250,tt0058808,tt0071771,tt0068687
nm0000736	Robert Aldrich	1918	1983	director,assistant_director,producer	tt0056687,tt0048261,tt0061578,tt0048966
nm0000739	Debbie Allen	1950	NA	actress,producer,director	tt0080716,tt0413573,tt0118607,tt0083412
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0060036,tt0057798,tt0072308,tt0044009
nm0000742	June Allyson	1917	2006	actress,soundtrack	tt0040876,tt0049578,tt0046963,tt0039431
nm0000747	Don Ameche	1908	1993	actor,soundtrack,director	tt0102603,tt0086465,tt0107131,tt0088933
nm0000750	Jon Amiel	1948	NA	director,producer,script_department	tt0137494,tt0298814,tt0112722,tt0100822
nm0000752	Judith Anderson	1897	1992	actress,soundtrack	tt0032976,tt0051459,tt0037008,tt0088170
nm0000755	Lindsay Anderson	1923	1994	director,actor,writer	tt0057578,tt0063850,tt0070464,tt0083694
nm0000759	Paul Thomas Anderson	1970	NA	director,writer,producer	tt0118749,tt0272338,tt0469494,tt1791528
nm0000761	Bibi Andersson	1935	2019	actress,soundtrack	tt0050976,tt0050986,tt0837106,tt0060827
nm0000763	Dana Andrews	1909	1992	actor,soundtrack	tt0036868,tt0037008,tt0050766,tt0051221
nm0000768	Francesca Annis	1945	NA	actress	tt0085811,tt0375920,tt0077042,tt0087182
nm0000776	Michael Apted	1941	NA	director,producer,miscellaneous	tt0143145,tt0157583,tt0384766,tt1734493
nm0000783	Dario Argento	1940	NA	writer,director,producer	tt0065143,tt0073582,tt0093677,tt0084777
nm0000791	Jack Arnold	1916	1992	director,producer,writer	tt0046876,tt0043138,tt2402723,tt0050539
nm0000795	Jean Arthur	1900	1991	actress,soundtrack	tt0031679,tt0031762,tt0030993,tt0046303
nm0000802	Mary Astor	1906	1987	actress,soundtrack	tt0034428,tt0033677,tt0035169,tt0033870
nm0000807	Jane Austen	1775	1817	writer	tt0114388,tt0116191,tt0414387,tt1374989
nm0000820	Burt Bacharach	1928	NA	soundtrack,music_department,composer	tt0064115,tt0082031,tt0145660,tt0119738
nm0000822	Jim Backus	1913	1989	actor,writer,soundtrack	tt0057751,tt0057681,tt0057193,tt0048545
nm0000824	John Badham	1939	NA	director,producer,actor	tt0113972,tt0076666,tt0091949,tt0086567
nm0000842	Martin Balsam	1919	1996	actor	tt0074119,tt0059798,tt0054215,tt0050083
nm0000843	Anne Bancroft	1931	2005	actress,soundtrack,director	tt0076843,tt0056241,tt0061722,tt0119223
nm0000854	Majel Barrett	1932	2008	actress,producer,writer	tt0070909,tt0111280,tt0253754,tt0117731
nm0000865	Richard Basehart	1914	1984	actor,director	tt0047528,tt0043560,tt0049513,tt0057798
nm0000869	Alan Bates	1934	2003	actor,soundtrack,producer	tt0280707,tt0164184,tt0066579,tt0265349
nm0000870	Kathy Bates	1948	NA	actress,director,soundtrack	tt0119942,tt0120338,tt0100157,tt0109642
nm0000875	L. Frank Baum	1856	1919	writer,producer,miscellaneous	tt0032138,tt3581624,tt0004207,tt0000679
nm0000876	Noah Baumbach	1969	NA	writer,director,producer	tt7653254,tt0367089,tt2347569,tt1234654
nm0000879	Anne Baxter	1923	1985	actress,soundtrack,producer	tt0042192,tt0049833,tt0038873,tt0035015
nm0000883	Stephanie Beacham	1947	NA	actress,soundtrack	tt0096698,tt0081856,tt0452643,tt0068505
nm0000889	Bonnie Bedelia	1948	NA	actress,soundtrack	tt0099423,tt0085656,tt0095016,tt0100404
nm0000895	Barbara Bel Geddes	1922	2005	actress,soundtrack	tt0042832,tt0077000,tt0040458,tt0052357
nm0000897	Ralph Bellamy	1904	1991	actor,soundtrack	tt0086465,tt0100405,tt0032599,tt0028597
nm0000901	Jean-Paul Belmondo	1933	NA	actor,producer,stunts	tt0061452,tt0059592,tt0095386,tt0053472
nm0000902	Jim Belushi	1954	NA	actor,music_department,producer	tt0091419,tt0097637,tt0117468,tt0095963
nm0000904	William Bendix	1906	1964	actor,soundtrack,writer	tt0037017,tt0034798,tt0043465,tt0038369
nm0000910	Joan Bennett	1910	1990	actress,soundtrack	tt0059978,tt0076786,tt0037469,tt0038057
nm0000912	Jack Benny	1894	1974	actor,soundtrack,producer	tt0042116,tt0031611,tt0037790,tt0035446
nm0000917	Polly Bergen	1930	2014	actress,soundtrack,miscellaneous	tt0055824,tt0085112,tt0048893,tt0099329
nm0000919	Senta Berger	1941	NA	actress,producer,soundtrack	tt0062657,tt0061568,tt0090465,tt0896680
nm0000922	Sandahl Bergman	1951	NA	actress,soundtrack	tt0093171,tt0090009,tt0082198,tt0089893
nm0000930	Elmer Bernstein	1922	2004	music_department,composer,soundtrack	tt0120891,tt0297884,tt0054047,tt0056592
nm0000934	Bernardo Bertolucci	1941	2018	writer,director,producer	tt0070849,tt0093389,tt0117737,tt0065571
nm0000936	Martine Beswick	1941	NA	actress,soundtrack	tt0061429,tt0068502,tt0057076,tt0059800
nm0000946	Whit Bissell	1909	1996	actor,soundtrack	tt0054047,tt0046876,tt0070723,tt0054387
nm0000947	Karen Black	1939	2013	actress,soundtrack,writer	tt0071577,tt0073440,tt0251736,tt0065724
nm0000955	Ward Bond	1903	1960	actor,soundtrack	tt0045061,tt0038650,tt0033870,tt0049730
nm0000958	John Boorman	1933	NA	producer,director,writer	tt0082348,tt0068473,tt0120706,tt0093209
nm0000963	Stephen Boyd	1931	1977	actor,soundtrack	tt0060801,tt0052618,tt0060397,tt0058085
nm0000964	Charles Boyer	1899	1978	actor,producer,soundtrack	tt0029855,tt0036855,tt0061452,tt0028739
nm0000967	Eric Braeden	1941	NA	actor,producer	tt0067065,tt0120338,tt0069658,tt0064177
nm0000974	Walter Brennan	1894	1974	actor,soundtrack	tt0053221,tt0037382,tt0040724,tt0033253
nm0000976	Martin Brest	1951	NA	director,actor,producer	tt0086960,tt0119643,tt0095631,tt0105323
nm0000977	Beau Bridges	1941	NA	actor,director,producer	tt0467197,tt0120086,tt0097322,tt1033575
nm0000978	Lloyd Bridges	1913	1998	actor,soundtrack,director	tt0080339,tt0083530,tt0102059,tt0107144
nm0000981	James Brolin	1940	NA	actor,producer,director	tt0078767,tt0070909,tt0181865,tt0077294
nm0000983	Albert Brooks	1947	NA	actor,writer,director	tt0780504,tt0101698,tt0092699,tt0089504
nm0000986	Bryan Brown	1947	NA	actor,producer,writer	tt0145547,tt0080310,tt0455824,tt0094889
nm0000989	Yul Brynner	1920	1985	actor,director,producer	tt0054047,tt0070909,tt0049408,tt0049833
nm0000996	LeVar Burton	1957	NA	actor,director,producer	tt0117731,tt0111280,tt0075572,tt0253754
nm0001001	James Caan	1940	NA	actor,soundtrack,director	tt0100157,tt0068646,tt0073631,tt0083190
nm0001006	John Candy	1950	1994	actor,writer,music_department	tt0088161,tt0094012,tt0093748,tt0098554
nm0001008	Frank Capra	1897	1991	director,writer,producer	tt0038650,tt0025316,tt0027996,tt0031679
nm0001010	Capucine	1928	1990	actress	tt0054324,tt0085384,tt0057413,tt0064940
